director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,title_year,director_genre_actors
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,The Lone Ranger,2013.0,Gore Verbinski Johnny Depp  Ruth Wilson Tom Wilkinson Action Adventure Western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,Man of Steel,2013.0,Zack Snyder Henry Cavill  Christopher Meloni Harry Lennix Action Adventure Fantasy Sci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,The Chronicles of Narnia: Prince Caspian,2008.0,Andrew Adamson Peter Dinklage  Pierfrancesco Favino Damián Alcázar Action Adventure Family Fantasy
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,The Avengers,2012.0,Joss Whedon Chris Hemsworth  Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Pirates of the Caribbean: On Stranger Tides,2011.0,Rob Marshall Johnny Depp  Sam Claflin Stephen Graham Action Adventure Fantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Men in Black 3,2012.0,Barry Sonnenfeld Will Smith  Michael Stuhlbarg Nicole Scherzinger Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Battle of the Five Armies,2014.0,Peter Jackson Aidan Turner  Adam Brown James Nesbitt Adventure Fantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,The Amazing Spider-Man,2012.0,Marc Webb Emma Stone  Andrew Garfield Chris Zylka Action Adventure Fantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Robin Hood,2010.0,Ridley Scott Mark Addy  William Hurt Scott Grimes Action Adventure Drama History
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Desolation of Smaug,2013.0,Peter Jackson Aidan Turner  Adam Brown James Nesbitt Adventure Fantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,The Golden Compass,2007.0,Chris Weitz Christopher Lee  Eva Green Kristin Scott Thomas Adventure Family Fantasy
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,King Kong,2005.0,Peter Jackson Naomi Watts  Thomas Kretschmann Evan Parke Action Adventure Drama Romance
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,Titanic,1997.0,James Cameron Leonardo DiCaprio  Kate Winslet Gloria Stuart Drama Romance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,Captain America: Civil War,2016.0,Anthony Russo Robert Downey Jr.  Scarlett Johansson Chris Evans Action Adventure Sci-Fi
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,Battleship,2012.0,Peter Berg Liam Neeson  Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,Jurassic World,2015.0,Colin Trevorrow Bryce Dallas Howard  Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,Skyfall,2012.0,Sam Mendes Albert Finney  Helen McCrory Rory Kinnear Action Adventure Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,Spider-Man 2,2004.0,Sam Raimi J.K. Simmons  James Franco Kirsten Dunst Action Adventure Fantasy Romance
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,Iron Man 3,2013.0,Shane Black Robert Downey Jr.  Jon Favreau Don Cheadle Action Adventure Sci-Fi
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,Alice in Wonderland,2010.0,Tim Burton Johnny Depp  Alan Rickman Anne Hathaway Adventure Family Fantasy
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,X-Men: The Last Stand,2006.0,Brett Ratner Hugh Jackman  Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,Monsters University,2013.0,Dan Scanlon Steve Buscemi  Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,Transformers: Revenge of the Fallen,2009.0,Michael Bay Glenn Morshower  Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,Transformers: Age of Extinction,2014.0,Michael Bay Bingbing Li  Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,Oz the Great and Powerful,2013.0,Sam Raimi Tim Holmes  Mila Kunis James Franco Adventure Family Fantasy
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,The Amazing Spider-Man 2,2014.0,Marc Webb Emma Stone  Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,TRON: Legacy,2010.0,Joseph Kosinski Jeff Bridges  Olivia Wilde James Frain Action Adventure Sci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,Cars 2,2011.0,John Lasseter Joe Mantegna  Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,Green Lantern,2011.0,Martin Campbell Ryan Reynolds  Temuera Morrison Taika Waititi Action Adventure Sci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,Toy Story 3,2010.0,Lee Unkrich Tom Hanks  John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,Terminator Salvation,2009.0,McG Christian Bale  Bryce Dallas Howard Common Action Adventure Sci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,Furious 7,2015.0,James Wan Jason Statham  Paul Walker Vin Diesel Action Crime Thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,World War Z,2013.0,Marc Forster Peter Capaldi  Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,X-Men: Days of Future Past,2014.0,Bryan Singer Jennifer Lawrence  Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,Star Trek Into Darkness,2013.0,J.J. Abrams Benedict Cumberbatch  Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,Jack the Giant Slayer,2013.0,Bryan Singer Eddie Marsan  Ewen Bremner Ralph Brown Adventure Fantasy
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,The Great Gatsby,2013.0,Baz Luhrmann Leonardo DiCaprio  Elizabeth Debicki Steve Bisley Drama Romance
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,Prince of Persia: The Sands of Time,2010.0,Mike Newell Jake Gyllenhaal  Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,Pacific Rim,2013.0,Guillermo del Toro Charlie Hunnam  Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,Transformers: Dark of the Moon,2011.0,Michael Bay Glenn Morshower  Lester Speight Kevin Dunn Action Adventure Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Steven Spielberg Harrison Ford  Ray Winstone Jim Broadbent Action Adventure Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,The Good Dinosaur,2015.0,Peter Sohn A.J. Buckley  Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,Brave,2012.0,Mark Andrews Kelly Macdonald  John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,Star Trek Beyond,2016.0,Justin Lin Sofia Boutella  Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,WALL·E,2008.0,Andrew Stanton John Ratzenberger  Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,Rush Hour 3,2007.0,Brett Ratner Tzi Ma  Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,2009.0,Roland Emmerich Oliver Platt  Liam James Tom McCarthy Action Adventure Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,A Christmas Carol,2009.0,Robert Zemeckis Robin Wright  Colin Firth Gary Oldman Animation Drama Family Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,Jupiter Ascending,2015.0,Lana Wachowski Channing Tatum  Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,The Legend of Tarzan,2016.0,David Yates Christoph Waltz  Alexander Skarsgård Casper Crump Action Adventure Drama Romance
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,Andrew Adamson Jim Broadbent  Kiran Shah Shane Rangi Adventure Family Fantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,X-Men: Apocalypse,2016.0,Bryan Singer Jennifer Lawrence  Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,The Dark Knight,2008.0,Christopher Nolan Christian Bale  Heath Ledger Morgan Freeman Action Crime Drama Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,Up,2009.0,Pete Docter John Ratzenberger  Delroy Lindo Jess Harnell Adventure Animation Comedy Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,Monsters vs. Aliens,2009.0,Rob Letterman Amy Poehler  Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,Iron Man,2008.0,Jon Favreau Robert Downey Jr.  Jeff Bridges Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,Hugo,2011.0,Martin Scorsese Chloë Grace Moretz  Christopher Lee Ray Winstone Adventure Drama Family Mystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,Wild Wild West,1999.0,Barry Sonnenfeld Will Smith  Salma Hayek Bai Ling Action Comedy Sci-Fi Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,The Mummy: Tomb of the Dragon Emperor,2008.0,Rob Cohen Jet Li  Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,Suicide Squad,2016.0,David Ayer Will Smith  Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,Evan Almighty,2007.0,Tom Shadyac Jimmy Bennett  Morgan Freeman Steve Carell Comedy Family Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,Edge of Tomorrow,2014.0,Doug Liman Tom Cruise  Lara Pulver Noah Taylor Action Adventure Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,Waterworld,1995.0,Kevin Reynolds Jeanne Tripplehorn  Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,G.I. Joe: The Rise of Cobra,2009.0,Stephen Sommers Joseph Gordon-Levitt  Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,Inside Out,2015.0,Pete Docter Amy Poehler  Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,The Jungle Book,2016.0,Jon Favreau Scarlett Johansson  Bill Murray Garry Shandling Adventure Drama Family Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,Iron Man 2,2010.0,Jon Favreau Robert Downey Jr.  Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,Snow White and the Huntsman,2012.0,Rupert Sanders Chris Hemsworth  Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,Maleficent,2014.0,Robert Stromberg Angelina Jolie Pitt  Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,Dawn of the Planet of the Apes,2014.0,Matt Reeves Gary Oldman  Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,The Lovers,2015.0,Roland Joffé Tamsin Egerton  Alice Englert Bipasha Basu Action Adventure Romance Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 Ronin,2013.0,Carl Rinsch Keanu Reeves  Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,Captain America: The Winter Soldier,2014.0,Anthony Russo Scarlett Johansson  Chris Evans Hayley Atwell Action Adventure Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,Shrek Forever After,2010.0,Mike Mitchell Jon Hamm  Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,Tomorrowland,2015.0,Brad Bird Judy Greer  Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,Big Hero 6,2014.0,Don Hall Damon Wayans Jr.  Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,Wreck-It Ralph,2012.0,Rich Moore Jack McBrayer  Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,The Polar Express,2004.0,Robert Zemeckis Tom Hanks  Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,Independence Day: Resurgence,2016.0,Roland Emmerich Vivica A. Fox  Sela Ward Judd Hirsch Action Adventure Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,How to Train Your Dragon,2010.0,Dean DeBlois Gerard Butler  America Ferrera Craig Ferguson Adventure Animation Family Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,Terminator 3: Rise of the Machines,2003.0,Jonathan Mostow Nick Stahl  M.C. Gainey Carolyn Hennesy Action Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,Guardians of the Galaxy,2014.0,James Gunn Bradley Cooper  Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,Interstellar,2014.0,Christopher Nolan Matthew McConaughey  Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,Inception,2010.0,Christopher Nolan Leonardo DiCaprio  Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,Godzilla Resurgence,2016.0,Hideaki Anno Mark Chinnery  Shin'ya Tsukamoto Atsuko Maeda Action Adventure Drama Horror Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: An Unexpected Journey,2012.0,Peter Jackson Aidan Turner  Adam Brown James Nesbitt Adventure Fantasy
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,The Fast and the Furious,2001.0,Rob Cohen Paul Walker  Vin Diesel Jordana Brewster Action Crime Thriller
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,The Curious Case of Benjamin Button,2008.0,David Fincher Brad Pitt  Jason Flemyng Julia Ormond Drama Fantasy Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,X-Men: First Class,2011.0,Matthew Vaughn Jennifer Lawrence  Michael Fassbender Oliver Platt Action Adventure Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,The Hunger Games: Mockingjay - Part 2,2015.0,Francis Lawrence Jennifer Lawrence  Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,The Sorcerer's Apprentice,2010.0,Jon Turteltaub Nicolas Cage  Omar Benson Miller Robert Capron Action Adventure Family Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,Poseidon,2006.0,Wolfgang Petersen Jimmy Bennett  Mike Vogel Andre Braugher Action Adventure Drama Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,Alice Through the Looking Glass,2016.0,James Bobin Johnny Depp  Alan Rickman Anne Hathaway Adventure Family Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,Shrek the Third,2007.0,Chris Miller Justin Timberlake  Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,Warcraft,2016.0,Duncan Jones Dominic Cooper  Callum Rennie Ruth Negga Action Adventure Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,Terminator Genisys,2015.0,Alan Taylor J.K. Simmons  Emilia Clarke Matt Smith Action Adventure Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,Michael Apted Bruce Spence  Shane Rangi Laura Brent Adventure Family Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,Pearl Harbor,2001.0,Michael Bay Jennifer Garner  Jaime King Mako Action Drama History Romance War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,Transformers,2007.0,Michael Bay Zack Ward  Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,Alexander,2004.0,Oliver Stone Anthony Hopkins  Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,Harry Potter and the Order of the Phoenix,2007.0,David Yates Robert Pattinson  Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter and the Goblet of Fire,2005.0,Mike Newell Robert Pattinson  Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,Hancock,2008.0,Peter Berg Will Smith  Charlize Theron Eddie Marsan Action Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,I Am Legend,2007.0,Francis Lawrence Will Smith  Alice Braga Willow Smith Drama Horror Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,Charlie and the Chocolate Factory,2005.0,Tim Burton Johnny Depp  Christopher Lee David Kelly Adventure Comedy Family Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,Ratatouille,2007.0,Brad Bird Janeane Garofalo  John Ratzenberger Brian Dennehy Animation Comedy Family Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,Batman Begins,2005.0,Christopher Nolan Christian Bale  Liam Neeson Morgan Freeman Action Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,Madagascar: Escape 2 Africa,2008.0,Eric Darnell Bernie Mac  Jada Pinkett Smith Cedric the Entertainer Action Adventure Animation Comedy Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,Night at the Museum: Battle of the Smithsonian,2009.0,Shawn Levy Robin Williams  Rami Malek Steve Coogan Adventure Comedy Family Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,X-Men Origins: Wolverine,2009.0,Gavin Hood Hugh Jackman  Ryan Reynolds Dominic Monaghan Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,The Matrix Revolutions,2003.0,Lana Wachowski Essie Davis  Collin Chou Nona Gaye Action Sci-Fi
